,Education,NumSkills,WorkExperience,StartDates,EndDates
0,HighSchool,2,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","['02-2010', '05-2014', '05-2015', '02-2016', '09-2016', '07-2018']","['05-2014', '05-2015', '02-2016', '06-2016', '04-2018', '11-2018']"
1,Masters,1,"['Junior', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Worker', 'Specialist']","['09-2002', '11-2005', '10-2007', '05-2009', '08-2010', '11-2011', '05-2012', '01-2014', '06-2015', '03-2016']","['11-2005', '10-2007', '05-2008', '08-2010', '10-2011', '05-2012', '12-2013', '06-2015', '03-2016', '11-2016']"
2,Masters,5,"['Senior', 'Specialist', 'Senior']","['11-1997', '12-2005', '01-2006']","['06-2004', '03-2006', '01-2019']"
3,Bachelors,21,"['Junior', 'Junior', 'Senior', 'Senior']","['10-2006', '05-2008', '04-2009', '03-2011']","['05-2008', '04-2009', '03-2011', '07-2017']"
4,Associates,10,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","['01-1985', '01-1987', '01-1990', '01-1996', '01-2000', '10-2002', '09-2005', '09-2003', '01-1990', '06-2013']","['01-1987', '01-1990', '01-1996', '01-2000', '10-2002', '05-2003', '02-2010', '05-2010', '01-2013', '03-2017']"
5,Doctorate,5,"['Worker', 'Senior', 'Specialist', 'Specialist', 'Senior']","['06-1981', '05-1988', '04-2000', '08-2001', '02-2002']","['12-1981', '03-1993', '08-2001', '02-2002', '05-2018']"
6,Masters,5,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","['01-1996', '01-1997', '01-1999', '01-2002', '01-2007', '01-2018']","['01-1997', '01-1999', '01-2002', '01-2007', '01-2018', '05-2018']"
7,Masters,1,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior']","['07-1994', '01-1997', '06-1999', '06-2008', '09-2003']","['01-1997', '06-1999', '06-2009', '01-2017', '01-2019']"
8,Bachelors,5,"['Junior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist']","['09-1993', '09-1995', '09-1997', '05-2001', '09-2007', '05-2010', '05-2017']","['09-1995', '09-1997', '05-2001', '05-2002', '05-2010', '05-2017', '01-2019']"
9,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior']","['07-1996', '06-2012', '07-2013', '04-2014']","['03-2012', '07-2013', '04-2014', '07-2016']"
