,Education,NumSkills,WorkExperience,Seniority,Specialty,Workerness
0,HighSchool,2,"['Specialist', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Specialist']","[0.19356519514196135, 0.19356519514196135, 0.20660336093694417, 0.2159089143179845, 0.23652718657546984, 0.21949003974589637]","[0.2040401232053245, 0.2040401232053245, 0.23041171688287343, 0.20940593098771318, 0.2218989565957219, 0.24144353448390016]","[0.19548862401097586, 0.19548862401097586, 0.22987889150304683, 0.19834828526004378, 0.1906028723050171, 0.2258364628898967]"
1,Masters,1,"['Junior', 'Specialist', 'Specialist', 'Junior', 'Senior', 'Worker', 'Specialist', 'Senior', 'Worker', 'Specialist']","[0.23134396656597458, 0.2170552636814319, 0.21576552589524625, 0.23134396656597458, 0.21691173758249607, 0.16500672824200294, 0.19856549288242048, 0.0, 0.1775230394736183, 0.21928262628155692]","[0.2432954165066781, 0.24576693268850847, 0.236482113121396, 0.2432954165066781, 0.21117422172011993, 0.18052023055547997, 0.22831083918213196, 0.0, 0.17458280783403576, 0.2473450908289021]","[0.20631113314792413, 0.20411112871362516, 0.2042348902917909, 0.20631113314792413, 0.1997695807086319, 0.2047769760838074, 0.19995952619300933, 0.0, 0.18702934534690271, 0.1922072794826678]"
2,Masters,5,"['Senior', 'Specialist', 'Senior']","[0.19481535762658492, 0.20594537426887258, 0.2239307675679708]","[0.17565008204914262, 0.23761392165934897, 0.22134145256230245]","[0.17294774181394082, 0.19132263748193565, 0.17723076123302778]"
3,Bachelors,21,"['Junior', 'Junior', 'Senior', 'Senior']","[0.20388317702354736, 0.2077196495414102, 0.21442434201563415, 0.18967179451919]","[0.18435889808066708, 0.21144727967051544, 0.19809996277881717, 0.16631149096110664]","[0.17965927406548393, 0.18554868759872722, 0.20039490128346676, 0.17046845349826123]"
4,Associates,10,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior', 'Specialist', 'Specialist', 'Senior', 'Senior', 'Senior']","[0.22149666501672888, 0.22149666501672888, 0.19801269628790674, 0.23652718657546984, 0.186346140644611, 0.19725092634785887, 0.22603552708878893, 0.24683171382445565, 0.0, 0.22838071265534907]","[0.20126607454055262, 0.20126607454055262, 0.19147199962864273, 0.2218989565957219, 0.17945968672084803, 0.21136885454656906, 0.2429402153346467, 0.23349852073181113, 0.0, 0.21119805975258638]","[0.1898810983689848, 0.1898810983689848, 0.18044327185398804, 0.1906028723050171, 0.1856627873672457, 0.19086895409824248, 0.20568558768415438, 0.20407941740501684, 0.0, 0.20259914052281547]"
5,Doctorate,5,"['Worker', 'Senior', 'Specialist', 'Specialist', 'Senior']","[0.206284181820277, 0.22617696521086356, 0.2215356322910241, 0.20759260178642794, 0.2288243000828453]","[0.2106531510065138, 0.20821435276133926, 0.2360938975759504, 0.2291417312434195, 0.2097621463280081]","[0.22390333928986733, 0.20327030223269577, 0.21927851613488097, 0.22588835970720697, 0.20115761909431146]"
6,Masters,5,"['Senior', 'Senior', 'Specialist', 'Specialist', 'Specialist', 'Specialist']","[0.2192785840906613, 0.21057396571961012, 0.20076007644679925, 0.2076982792829792, 0.21799145071974285, 0.21799145071974285]","[0.2161769857863773, 0.20757800303469093, 0.20204308210807403, 0.26809786945293507, 0.2567160267892266, 0.2567160267892266]","[0.1903128029830767, 0.18465746622926607, 0.19429202559719552, 0.19500548064812914, 0.19810637407592407, 0.19810637407592407]"
7,Masters,1,"['Senior', 'Senior', 'Senior', 'Senior', 'Senior']","[0.21155000834337098, 0.22368352505345393, 0.21282282153953577, 0.20490427735452965, 0.23019489695942122]","[0.18673118454838117, 0.2017146981764316, 0.20366363700228254, 0.1949982852513229, 0.22804754119137194]","[0.1935491686261032, 0.19234665430446002, 0.1887445541744789, 0.1873795668983482, 0.18943168224588264]"
8,Bachelors,5,"['Junior', 'Specialist', 'Senior', 'Specialist', 'Specialist', 'Junior', 'Specialist']","[0.18666670907048166, 0.21383778481376634, 0.23623007655392783, 0.23160205590110627, 0.23555654186831979, 0.22571877823790404, 0.23555654186831979]","[0.17647266983022655, 0.22963033404556019, 0.23235363246422974, 0.2325079000225161, 0.2394364662071011, 0.23118244303114, 0.2394364662071011]","[0.1842735899851298, 0.2070518376602067, 0.20129066067404094, 0.1926202112146018, 0.20731054552159323, 0.18941384266594646, 0.20731054552159323]"
9,Masters,0,"['Senior', 'Senior', 'Senior', 'Senior']","[0.23067850806604978, 0.19032237033004135, 0.23469954712544824, 0.24379210478265467]","[0.22011951307562466, 0.18185628850966204, 0.20806335443446244, 0.2288979129195118]","[0.17593032223272573, 0.18945015589111192, 0.1982255452003768, 0.18400525667414472]"
10,Masters,7,"['Senior', 'Worker', 'Specialist']","[0.19893641091910622, 0.20818107997164031, 0.22356149975958828]","[0.18541257823078033, 0.21659845201956104, 0.2546153808161883]","[0.19240187839031067, 0.2229954417324576, 0.2038373520342182]"
11,Masters,3,['Specialist'],[0.23213395175324852],[0.24082578848456568],[0.1951483638941442]
12,None/Other,8,"['Worker', 'Senior', 'Worker', 'Senior', 'Specialist']","[0.2061843294796649, 0.2235518687302817, 0.20598222925487647, 0.23739943168567765, 0.22296619241477902]","[0.21133772387201902, 0.20817096469715687, 0.20552264643246104, 0.22884365138169743, 0.23875468025856456]","[0.21424277559965602, 0.21457692601548, 0.20939016409294853, 0.20098483334943187, 0.23313891275408868]"
13,Doctorate,4,"['Worker', 'Senior', 'Junior', 'Senior', 'Junior', 'Junior', 'Specialist', 'Junior', 'Senior', 'Specialist', 'Senior', 'Senior', 'Senior', 'Senior', 'Senior']","[0.2321992259242222, 0.1904958679183761, 0.2455168818736173, 0.21516160045108718, 0.2455168818736173, 0.1937697658908967, 0.22900924067602244, 0.2455168818736173, 0.22086472255302894, 0.20021655981446973, 0.1968669690343027, 0.220407899513849, 0.219294763361294, 0.18607431600419513, 0.21061888576114213]","[0.23200267742917804, 0.1841916228245577, 0.23769334795348843, 0.19983273550337774, 0.23769334795348843, 0.19048381265651296, 0.2570163478030378, 0.23769334795348843, 0.20516832260916412, 0.2203682347244829, 0.17781533110558137, 0.2031448230098341, 0.19496336528279187, 0.16932830952903752, 0.19046934278887498]","[0.23270679256099516, 0.18508782819607053, 0.20884424606924107, 0.19209324184431956, 0.20884424606924107, 0.17667073270624067, 0.1984366253529684, 0.20884424606924107, 0.18267970678867584, 0.19155077653701474, 0.1900292199341252, 0.1890234070598162, 0.18824422017624728, 0.17191137019792835, 0.18999330258166097]"
14,Certificate,5,"['Specialist', 'Senior', 'Senior', 'Senior']","[0.2129722496377908, 0.21031892618921683, 0.2046660533805579, 0.2181186651170514]","[0.2323523932269215, 0.2067419183259056, 0.19791806253779398, 0.203996904700853]","[0.20470928189576082, 0.19847618789586136, 0.19269899735737175, 0.19937204291865906]"
15,None/Other,1,"['Senior', 'Specialist', 'Senior', 'Junior', 'Senior', 'Senior']","[0.23567956706920146, 0.21928262628155692, 0.2194577862636719, 0.24034132614555878, 0.1942410950872888, 0.23836020378657144]","[0.21258718233910207, 0.2473450908289021, 0.21117318310781752, 0.22437499960249765, 0.19037595437765598, 0.21265072001740298]","[0.19325291012061746, 0.1922072794826678, 0.19072733035800898, 0.18979682653743962, 0.18358111297507385, 0.1887324510069047]"
16,Bachelors,5,"['Junior', 'Junior', 'Senior', 'Senior', 'Specialist', 'Senior', 'Specialist']","[0.19175341195656465, 0.20682943137327858, 0.20887921948487173, 0.17460351124234946, 0.21037895739121484, 0.18195861055582657, 0.22741316089007035]","[0.18707113324925628, 0.22127781336864039, 0.20489162563833496, 0.1598173291530993, 0.22966542595105605, 0.17373179907595623, 0.24929848731392726]","[0.18370656915943678, 0.18604694817164322, 0.20826630933679602, 0.15718997183701452, 0.2068182954592051, 0.18036349134856422, 0.2058877407262646]"
17,Masters,0,"['Worker', 'Specialist', 'Senior', 'Specialist', 'Junior', 'Junior', 'Worker', 'Worker', 'Senior', 'Worker']","[0.17745438819533946, 0.2142760209732223, 0.24683171382445565, 0.2093597218162805, 0.2152133234002451, 0.17617168180331805, 0.18810137257788467, 0.20643881825758006, 0.19433545497561988, 0.20396684780868163]","[0.17835435851808984, 0.2509035691864332, 0.23349852073181113, 0.2837609137301868, 0.223535125955182, 0.16538674157523853, 0.17628231293900037, 0.21623798551194884, 0.16485812910943803, 0.19793800478884838]","[0.20056560736452786, 0.21098326057934466, 0.20407941740501684, 0.19954163342623746, 0.19421238675378633, 0.17201880103914205, 0.19296884361869784, 0.23726942333916368, 0.1827258246220508, 0.2061357402765635]"
